title_id,vertical,title_primary,imdb_id,tmdb_qid,candidates,match_note
anime_001,anime,Is It Wrong to Try to Pick Up Girls in a Dungeon?,tt4728568,Q102175392,Is It Wrong to Try to Pick Up Girls in a Dungeon? | Sword Oratoria | List of Is It Wrong to Try to Pick Up Girls in a Dungeon? characters | List of Is It Wrong to Try to Pick Up Girls in a Dungeon? episodes | Is It Wrong to Try to Pick Up Girls in a Dungeon? season 1 | List of Is It Wrong to Try to Pick Up Girls in a Dungeon? light novels,Is It Wrong to Try to Pick Up Girls in a Dungeon?:instance_of | Sword Oratoria:title_not_exact(0.29) | List of Is It Wrong to Try to Pick Up Girls in a Dungeon? characters:title_not_exact(0.84) | List of Is It Wrong to Try to Pick Up Girls in a Dungeon? episodes:title_not_exact(0.85) | Is It Wrong t
anime_002,anime,Myriad Colors Phantom World,tt5321046,Q92298217,Myriad Colors Phantom World | Sound! Euphonium | Liz and the Blue Bird | Ayaka Shimizu | Tatsuya Ishihara | Kyoto Animation | Amber Lee Connors | Azusa Tadokoro | Jeannie Tirado,Myriad Colors Phantom World:instance_of | Sound! Euphonium:title_not_exact(0.28) | Liz and the Blue Bird:title_not_exact(0.21) | Ayaka Shimizu:title_not_exact(0.15) | Tatsuya Ishihara:title_not_exact(0.28) | Kyoto Animation:title_similarity(0.29) | Amber Lee Connors:title_similarity(0.32) | Azusa Ta
anime_003,anime,Grimgar of Fantasy and Ash,tt5341430,Q117449284,Grimgar of Fantasy and Ash | (K)now Name | Haruka Terui | Toho | Toho International | Ricco Fajardo | List of fantasy anime | Gangan Comics,Grimgar of Fantasy and Ash:instance_of | (K)now Name:title_not_exact(0.00) | Haruka Terui:title_not_exact(0.21) | Toho:title_not_exact(0.13) | Toho International:title_not_exact(0.27) | Ricco Fajardo:title_similarity(0.41) | (K)now Name:title_similarity(0.00) | List of fantasy anime:title_similarity
anime_004,anime,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,tt6819736,Q116274326,WorldEnd | Haim (band) | We Are the World | Jurassic World Rebirth | Keke Palmer | So You Think You Can Dance: The Next Generation (American TV series) | Dusk Beyond the End of the World,WorldEnd:parent_article | Haim (band):title_not_exact(0.07) | We Are the World:title_not_exact(0.32) | Jurassic World Rebirth:title_not_exact(0.24) | Keke Palmer:title_not_exact(0.12) | So You Think You Can Dance: The Next Generation (American TV series):title_similarity(0.26) | Dusk Beyond the End 
anime_005,anime,My First Girlfriend Is a Gal,tt6538106,Q128363861,My First Girlfriend Is a Gal | Yuki Yagi | Gal Gadot | Minoru Shiraishi | My Sweet Tyrant | Kogal | Gal-sen | List of harem anime and manga | Eri Kitamura,My First Girlfriend Is a Gal:instance_of | Yuki Yagi:title_not_exact(0.27) | Gal Gadot:title_not_exact(0.16) | Minoru Shiraishi:title_not_exact(0.27) | My Sweet Tyrant:title_not_exact(0.37) | Kogal:title_similarity(0.18) | Gal-sen:title_similarity(0.17) | List of harem anime and manga:title_similari
anime_007,anime,Ajin,tt5537534,Q104891471,Ajin: Demi-Human | List of Ajin: Demi-Human episodes | Enigma Black Stage | Lahmacun | List of animated feature films of 2016 | Vaazha II: Biopic of a Billion Bros | Ajin Panjapan,Ajin: Demi-Human:title_not_exact(0.40) | List of Ajin: Demi-Human episodes:title_not_exact(0.22) | Enigma Black Stage:title_not_exact(0.09) | Lahmacun:title_not_exact(0.33) | List of animated feature films of 2016:title_not_exact(0.10) | Ajin: Demi-Human:title_similarity(0.40) | Vaazha II: Biopic of
anime_010,anime,Girls' Last Tour,tt7474942,Q78192210,Girls' Last Tour | Last Girl on Earth | Spice Girls | Wonder Girls | The Return of the Spice Girls Tour | Tsukumizu | Shimeji Simulation | Crunchyroll Anime Award for Best Slice of Life,Girls' Last Tour:instance_of | Last Girl on Earth:title_not_exact(0.35) | Spice Girls:title_not_exact(0.37) | Wonder Girls:title_not_exact(0.36) | The Return of the Spice Girls Tour:title_not_exact(0.40) | Tsukumizu:title_similarity(0.16) | Last Girl on Earth:title_similarity(0.35) | Shimeji Simulat
anime_011,anime,Gate,tt4958580,Q125699299,Steins;Gate | Graduate Aptitude Test in Engineering | Gate (novel series) | Hyde Park Gate | The Gate (Swans album) | Gate | Gate (disambiguation) | Heaven's Gate | AND gate | Dragon Gate,Steins;Gate:title_not_exact(0.53) | Graduate Aptitude Test in Engineering:title_not_exact(0.20) | Gate (novel series):instance_of | Hyde Park Gate:title_not_exact(0.44) | The Gate (Swans album):title_not_exact(0.67) | Gate:instance_of | Gate (disambiguation):disambiguation | Heaven's Gate:disambigua
anime_012,anime,Overlord,tt4869896,Q50308776,Overlord (novel series) | Overlord: Fellowship of Evil | Overlord (video game series) | Overlord season 1 | Overlord (2007 video game) | Overlord | Overlord (disambiguation) | Operation Overlord | Unicorn Overlord,Overlord (novel series):instance_of | Overlord: Fellowship of Evil:title_not_exact(0.44) | Overlord (video game series):instance_of | Overlord season 1:title_not_exact(0.64) | Overlord (2007 video game):instance_of | Overlord:instance_of | Overlord (disambiguation):disambiguation | Operation Overlor
anime_013,anime,Miss Kobayashi's Dragon Maid,tt6185782,Q107448055,Miss Kobayashi's Dragon Maid | List of Miss Kobayashi's Dragon Maid episodes | Kyoto Animation | Sound! Euphonium | List of Miss Kobayashi's Dragon Maid chapters | Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to Be Loved | Miss Kobayashi's Dragon Maid: Burst Forth!! Choro-gon Breath,Miss Kobayashi's Dragon Maid:instance_of | List of Miss Kobayashi's Dragon Maid episodes:title_not_exact(0.77) | Kyoto Animation:title_not_exact(0.33) | Sound! Euphonium:title_not_exact(0.27) | List of Miss Kobayashi's Dragon Maid chapters:title_not_exact(0.77) | Miss Kobayashi's Dragon Maid: A Lone
