title_id,vertical,tmdb_id,tmdb_endpoint,title_primary,title_native,release_date,year_bucket,popularity_tercile,popularity,vote_average,vote_count,sampled_at
anime_001,anime,62745,tv,Is It Wrong to Try to Pick Up Girls in a Dungeon?,ダンジョンに出会いを求めるのは間違っているだろうか,2015-04-04,2015-2017,1,3.6416,7.336,323,2026-09-04
anime_002,anime,65333,tv,Myriad Colors Phantom World,無彩限のファントム・ワールド,2016-01-07,2015-2017,1,8.7714,7.645,138,2026-09-04
anime_003,anime,65369,tv,Grimgar of Fantasy and Ash,灰と幻想のグリムガル,2016-01-11,2015-2017,1,7.8634,7.396,149,2026-09-04
anime_004,anime,70639,tv,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,終末なにしてますか？忙しいですか？救ってもらっていいですか？,2017-04-11,2015-2017,1,5.6213,8.031,146,2026-09-04
anime_005,anime,72296,tv,My First Girlfriend Is a Gal,はじめてのギャル,2017-07-12,2015-2017,1,9.2738,8.26,423,2026-09-04
anime_006,anime,63145,tv,Charlotte,シャーロット,2015-07-05,2015-2017,2,15.1437,8.2,664,2026-09-04
anime_007,anime,65292,tv,Ajin,亜人,2016-01-16,2015-2017,2,10.8655,7.911,355,2026-09-04
anime_008,anime,66053,tv,Berserk,ベルセルク,2016-07-01,2015-2017,2,9.8667,7.404,308,2026-09-04
anime_009,anime,67676,tv,The Disastrous Life of Saiki K.,斉木楠雄のΨ難,2016-07-11,2015-2017,2,17.3558,8.291,386,2026-09-04
anime_010,anime,74185,tv,Girls' Last Tour,少女終末旅行,2017-10-06,2015-2017,2,11.1054,8.008,121,2026-09-04
anime_011,anime,63663,tv,Gate,ゲート 自衛隊 彼の地にて、斯く戦えり,2015-07-04,2015-2017,3,21.9595,7.52,196,2026-09-04
anime_012,anime,64196,tv,Overlord,オーバーロード,2015-07-07,2015-2017,3,37.3348,8.445,1128,2026-09-04
anime_013,anime,69291,tv,Miss Kobayashi's Dragon Maid,小林さんちのメイドラゴン,2017-01-12,2015-2017,3,23.3752,8.3,883,2026-09-04
anime_014,anime,69346,tv,Saga of Tanya the Evil,幼女戦記,2017-01-06,2015-2017,3,33.3098,8.218,456,2026-09-04
anime_015,anime,73223,tv,Black Clover,ブラッククローバー,2017-10-03,2015-2017,3,22.9119,8.493,2173,2026-09-04
anime_016,anime,76130,tv,Killing Bites,キリングバイツ,2018-01-13,2018-2020,1,5.8154,7.7,148,2026-09-04
anime_017,anime,78462,tv,Devils' Line,デビルズライン,2018-04-07,2018-2020,1,5.6973,7.85,210,2026-09-04
anime_018,anime,84666,tv,WATATEN!: an Angel Flew Down to Me,私に天使が舞い降りた！,2019-01-08,2018-2020,1,5.25,8.201,112,2026-09-04
anime_019,anime,85844,tv,Wise Man's Grandchild,賢者の孫,2019-04-10,2018-2020,1,7.9535,7.997,355,2026-09-04
anime_020,anime,88046,tv,Fire Force,炎炎ノ消防隊,2019-07-05,2018-2020,1,8.6127,8.322,659,2026-09-04
anime_021,anime,92090,tv,Blade of the Immortal,無限の住人-IMMORTAL-,2019-10-10,2018-2020,2,12.2078,7.142,116,2026-09-04
anime_022,anime,93256,tv,Cautious Hero: The Hero Is Overpowered but Overly Cautious,慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～,2019-10-02,2018-2020,2,12.7868,8.159,305,2026-09-04
anime_023,anime,94693,tv,Wandering Witch: The Journey of Elaina,魔女の旅々,2020-10-02,2018-2020,2,12.5597,7.608,120,2026-09-04
anime_024,anime,94795,tv,Cagaster of an Insect Cage,虫籠のカガステル,2020-02-06,2018-2020,2,9.5053,7.9,209,2026-09-04
anime_025,anime,96444,tv,Interspecies Reviewers,異種族レビュアーズ,2020-01-11,2018-2020,2,15.7347,7.9,646,2026-09-04
anime_026,anime,76075,tv,Laid-Back Camp,ゆるキャン△,2018-01-04,2018-2020,3,31.7203,8.16,128,2026-09-04
anime_027,anime,82739,tv,Rascal Does Not Dream of Bunny Girl Senpai,青春ブタ野郎はバニーガール先輩の夢を見ない,2018-10-04,2018-2020,3,31.7229,8.518,1334,2026-09-04
